tax_detail_id;default_tax_detail_id;insurance;supplier_inland_cost;freight_cost;local_clearance;import_tax;admin_charge;tt_fee;extra_fee_1;extra_fee_2;extra_fee_3
1;1;0;0;0;0;0;0;0;0;0;0
2;1;0;0;0;0;0;0;0;0;0;0
3;1;0;0;0;0;0;0;0;0;0;0
4;1;0;0;0;0;0;0;0;0;0;0
5;1;0;0;0;0;0;0;0;0;0;0
6;1;0;0;0;0;0;0;0;0;0;0
7;1;0;0;0;0;0;0;0;0;0;0
8;1;0;0;0;0;0;0;0;0;0;0
9;1;0;0;0;0;0;0;0;0;0;0
10;1;0;0;0;0;0;0;0;0;0;0
11;1;0;0;0;0;0;0;0;0;0;0
12;1;0;0;0;0;0;0;0;0;0;0
13;1;0;0;0;0;0;0;0;0;0;0
14;1;0;0;0;0;0;0;0;0;0;0
15;1;0;0;0;0;0;0;0;0;0;0
16;1;0;0;0;0;0;0;0;0;0;0
17;1;0;0;0;0;0;0;0;0;0;0
18;1;0;0;0;0;0;0;0;0;0;0
19;1;0;0;0;0;0;0;0;0;0;0
20;2;0;0;0;0;0;0;0;0;0;0
21;2;0;0;0;0;0;0;0;0;0;0
22;2;0;0;0;0;0;0;0;0;0;0
23;2;0;0;0;0;0;0;0;0;0;0
24;2;0;0;0;0;0;0;0;0;0;0
25;2;0;0;0;0;0;0;0;0;0;0
26;2;0;0;0;0;0;0;0;0;0;0
27;2;0;0;0;0;0;0;0;0;0;0
28;2;0;0;0;0;0;0;0;0;0;0
29;2;0;0;0;0;0;0;0;0;0;0
30;2;0;0;0;0;0;0;0;0;0;0
31;2;0;0;0;0;0;0;0;0;0;0
32;2;0;0;0;0;0;0;0;0;0;0
33;2;0;0;0;0;0;0;0;0;0;0
34;2;0;0;0;0;0;0;0;0;0;0
35;2;0;0;0;0;0;0;0;0;0;0
36;2;0;0;0;0;0;0;0;0;0;0
37;2;0;0;0;0;0;0;0;0;0;0
38;2;0;0;0;0;0;0;0;0;0;0
39;2;0;0;0;0;0;0;0;0;0;0
40;2;0;0;0;0;0;0;0;0;0;0
41;2;0;0;0;0;0;0;0;0;0;0
42;2;0;0;0;0;0;0;0;0;0;0
43;2;0;0;0;0;0;0;0;0;0;0
44;2;0;0;0;0;0;0;0;0;0;0
45;2;0;0;0;0;0;0;0;0;0;0
46;2;0;0;0;0;0;0;0;0;0;0
47;2;0;0;0;0;0;0;0;0;0;0
48;2;0;0;0;0;0;0;0;0;0;0
49;2;0;0;0;0;0;0;0;0;0;0
50;2;0;0;0;0;0;0;0;0;0;0
51;2;0;0;0;0;0;0;0;0;0;0
52;2;0;0;0;0;0;0;0;0;0;0
53;2;0;0;0;0;0;0;0;0;0;0
54;2;0;0;0;0;0;0;0;0;0;0
55;2;0;0;0;0;0;0;0;0;0;0
56;3;0;0;0;0;0;0;0;0;0;0
57;3;0;0;0;0;0;0;0;0;0;0
58;3;0;0;0;0;0;0;0;0;0;0
59;3;0;0;0;0;0;0;0;0;0;0
60;3;0;0;0;0;0;0;0;0;0;0
61;3;0;0;0;0;0;0;0;0;0;0
62;3;0;0;0;0;0;0;0;0;0;0
63;3;0;0;0;0;0;0;0;0;0;0
64;3;0;0;0;0;0;0;0;0;0;0
65;3;0;0;0;0;0;0;0;0;0;0
66;3;0;0;0;0;0;0;0;0;0;0
67;3;0;0;0;0;0;0;0;0;0;0
68;3;0;0;0;0;0;0;0;0;0;0
69;3;0;0;0;0;0;0;0;0;0;0
70;3;0;0;0;0;0;0;0;0;0;0
71;3;0;0;0;0;0;0;0;0;0;0